pmid,title,keywords,abstract,label
34131452,Incorporating Time Delays in the Mathematical Modelling of the Human Immune Response in Viral Infections.,mathematical modelling;time delay;viral infection,"Mathematical modelling helps to describe the functional and causal relationships between objects in the physical world. The complexity of these models increases as more components and variables are added to maintain and observe. Differential equations are regularly used in these models, as they are able to display the interactions between several variables and describe non-linear behaviour. Differential equations are commonly used in immune response mathematical models to help describe these complex and dynamic interactions within the immune system of the organism. Time delays in the immune system are common and are often disregarded due to the low-resolution of models, which provide limited description of the specific section of immune system being studied. The few models that incorporate time delays are mostly at the epidemiological level, to track the spread of the virus in the population. In this paper we review the applications of the models based on differential equations and describe their potential utilization for the studies of immune response in SARS-CoV-2.",Epidemic Forecasting
34131413,A COVID-19 forecasting system using adaptive neuro-fuzzy inference.,anfis;contagion effect;coronavirus;forecasting system;time series,"This article proposes an Adaptive Neuro-Fuzzy Inference System (ANFIS) to forecast the number of COVID-19 cases in the United Kingdom. With the combination of artificial neural network and fuzzy logic structure, the model is trained based on collected data. The study examines various factors of ANFIS to come up with an effective time series prediction model. The result indicates that Spain and Italy data can strengthen the predictive power of COVID-19 cases in the UK. It is suggested that the policymakers should adopt Adaptive Neuro-Fuzzy Inference System (ANFIS) to predict contagion effect during the COVID-19 pandemic.",Epidemic Forecasting
34131234,The real seroprevalence of SARS-CoV-2 in France and its consequences for virus dynamics.,,"The SARS-CoV-2 virus has spread world-wide since December 2019, killing more than 2.9 million of people. We have adapted a statistical model from the SIR epidemiological models to predict the spread of SARS-CoV-2 in France. Our model is based on several parameters and assumed a 4.2% seroprevalence in Occitania after the first lockdown. The recent use of serological tests to measure the effective seroprevalence of SARS-CoV-2 in the population of Occitania has led to a seroprevalence around 2.4%. This implies to review the parameters of our model to conclude at a lower than expected virus transmission rate, which may be due to infectivity varying with the patient's symptoms or to a constraint due to an uneven population geographical distribution.",Epidemic Forecasting;Transmission
34131231,A new grey quadratic polynomial model and its application in the COVID-19 in China.,,"This paper develops a new grey prediction model with quadratic polynomial term. Analytical expressions of the time response function and the restored values of the new model are derived by using grey model technique and mathematical tools. With observations of the confirmed cases, the death cases and the recovered cases from COVID-19 in China at the early stage, the proposed forecasting model is developed. The computational results demonstrate that the new model has higher precision than the other existing prediction models, which show the grey model has high accuracy in the forecasting of COVID-19.",Epidemic Forecasting
34131198,Distribution of incubation periods of COVID-19 in the Canadian context.,,"We propose a novel model based on a set of coupled delay differential equations with fourteen delays in order to accurately estimate the incubation period of COVID-19, employing publicly available data of confirmed corona cases. In this goal, we separate the total cases into fourteen groups for the corresponding fourteen incubation periods. The estimated mean incubation period we obtain is 6.74 days (95% Confidence Interval(CI): 6.35 to 7.13), and the 90th percentile is 11.64 days (95% CI: 11.22 to 12.17), corresponding to a good agreement with statistical supported studies. This model provides an almost zero-cost computational complexity to estimate the incubation period.",Epidemic Forecasting
34129608,Mathematical modeling of the transmission of SARS-CoV-2-Evaluating the impact of isolation in Sao Paulo State (Brazil) and lockdown in Spain associated with protective measures on the epidemic of CoViD-19.,,"Coronavirus disease 2019 (CoViD-19), with the fatality rate in elder (60 years old or more) being much higher than young (60 years old or less) patients, was declared a pandemic by the World Health Organization on March 11, 2020. A mathematical model considering young and elder subpopulations under different fatality rates was formulated based on the natural history of CoViD-19 to study the transmission of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The model considered susceptible, exposed, asymptomatic, pre-symptomatic, mild CoViD-19, severe CoViD-19, and recovered compartments, besides compartments of isolated individuals and those who were caught by test. This model was applied to study the epidemiological scenario resulting from the adoption of quarantine (isolation or lockdown) in many countries to control the rapid propagation of CoViD-19. We chose as examples the isolation adopted in Sao Paulo State (Brazil) in the early phase but not at the beginning of the epidemic, and the lockdown implemented in Spain when the number of severe CoViD-19 cases was increasing rapidly. Based on the data collected from Sao Paulo State and Spain, the model parameters were evaluated, and we obtained a higher estimation for the basic reproduction number R0 (9.24 for Sao Paulo State, and 8 for Spain) compared to the currently accepted estimation of R0 around 2 using the SEIR (susceptible, exposed, infectious, and recovered compartments) model. In comparison with the lockdown in Spain, the relatively early adoption of the isolation in Sao Paulo State resulted in enlarging the period of the first wave of the epidemic and delaying its peak. The model allowed to explain the flattening of the epidemic curves by quarantine when associated with the protective measures (face mask, washing hands with alcohol and gel, and social distancing) adopted by the population. The description of the epidemic under quarantine and protections can be a background to foreseen the epidemiological scenarios from the release strategies, which can help guide public health policies by decision-makers.",Epidemic Forecasting;Prevention;Transmission
34129512,"Comparative Study of COVID-19 Pandemic Progressions in 175 Regions in Australia, Canada, Italy, Japan, Spain, U.K. and USA Using a Novel Model That Considers Testing Capacity and Deficiency in Confirming Infected Cases.",,"Not identified as being exposed or infected, the group of asymptomatic and presymptomatic patients has become the key source of infectious hosts for the COVID-19 pandemic, triggering the re-emergence of outbreaks. Acknowledging the impacts of movement of unidentified patients and the limited testing capacity on understanding the spread of the virus, an augmented Susceptible-Exposed-Infectious-Confirmed-Recovered (SEICR) model integrating intercity migration data and testing capacity is developed to probe into the number of unidentified COVID-19 infected patients. This model allows evaluation of the effectiveness of active interventions, and more accurate prediction of the pandemic progression in a country, region or city. A pseudo-coevolutionary algorithm is adopted in the model fitting to provide an effective estimation of high-dimensional unknown parameter sets using a limited amount of historical data. The model is applied to 175 regions in Australia, Canada, Italy, Japan, Spain, the UK and USA to estimate the number of unconfirmed cases using limited historical data. Results showed that the actual number of infected cases could be 4.309 times as many as the official confirmed number. By implementing mass COVID-19 testing, the number of infected cases could be reduced by about 50%.",Epidemic Forecasting;Prevention
34127952,"Multi-generational SIR modeling: Determination of parameters, epidemiological forecasting and age-dependent vaccination policies.",covid-19;compartmental modeling;epidemiology;sir;vaccination,"We use an age-dependent SIR system of equations to model the evolution of the COVID-19. Parameters that measure the amount of interaction in different locations (home, work, school, other) are approximated from in-sample data using a random optimization scheme, and indicate changes in social distancing along the course of the pandemic. That allows the estimation of the time evolution of classical and age-dependent reproduction numbers. With those parameters we predict the disease dynamics, and compare our results with out-of-sample data from the City of Rio de Janeiro. Finally, we provide a numerical investigation regarding age-based vaccination policies, shedding some light on whether is preferable to vaccinate those at most risk (the elderly) or those who spread the disease the most (the youngest). There is no clear upshot, as the results depend on the age of those immunized, contagious parameters, vaccination schedules and efficiency.",Epidemic Forecasting;Prevention
34127946,Mathematical modeling of COVID-19 in India and its states with optimal control.,covid-19;optimal control;sensitivity analysis;stability analysis;testing and detection,"A pandemic is an epidemic spread over a huge geographical area. COVID-19 is 5 th such pandemic documented after 1918 flu pandemic. In this work, we frame a mathematical epidemic model taking inspiration from the classic SIR model and develop a compartmental model with ten compartments to study the coronavirus dynamics in India and three of its most affected states, namely, Maharashtra, Karnataka, and Tamil Nadu, with inclusion of factors related to face mask efficacy, contact tracing, and testing along with quarantine and isolation. We fit the developed model and estimate optimum values of disease transmission rate, detection rate of undetected asymptomatic, and the same of undetected symptomatic. A sensitivity analysis is presented stressing on the importance of higher face mask usage, rapid testing, and contact tracing for curbing the disease spread. An optimal control analysis is performed with two control parameters to study the increase and decrease of the infected population with and without control. This study suggests that improved and rapid testing will help in identifying more infectives, thereby contributing in the decline of disease transmission rate. Optimal control analysis results on stressing on the importance of abiding by strict usage of face mask and social distancing for drastic decrease in number of infections. Time series behaviour of the symptomatic, asymptomatic, and hospitalized population is studied for a range of parameters, resulting in thorough understanding of significance of different parameters.",Epidemic Forecasting;Prevention
34127757,A multi-method approach to modeling COVID-19 disease dynamics in the United States.,,"In this paper, we proposed a multi-method modeling approach to community-level spreading of COVID-19 disease. Our methodology was composed of interconnected age-stratified system dynamics models in an agent-based modeling framework that allowed for a granular examination of the scale and severity of disease spread, including metrics such as infection cases, deaths, hospitalizations, and ICU usage. Model parameters were calibrated using an optimization technique with an objective function to minimize error associated with the cumulative cases of COVID-19 during a training period between March 15 and October 31, 2020. We outlined several case studies to demonstrate the model's state- and local-level projection capabilities. We further demonstrated how model outcomes could be used to evaluate perceived levels of COVID-19 risk across different localities using a multi-criteria decision analysis framework. The model's two, three, and four week out-of-sample projection errors varied on a state-by-state basis, and generally increased as the out-of-sample projection period was extended. Additionally, the prediction error in the state-level projections was generally due to an underestimation of cases and an overestimation of deaths. The proposed modeling approach can be used as a virtual laboratory to investigate a wide range of what-if scenarios and easily adapted to future high-consequence public health threats.",Epidemic Forecasting;Prevention
34124417,"The predicted trend of COVID-19 in the United States of America under the policy of ""Opening Up America Again"".",covid-19;policy and forecasting;the united states of america,"COVID-19 virus has been spreading worldwide for more than a year. At present, the situation of the new crown pneumonia epidemic remains full of tension and uncertainty. It is of concern is that the worst outbreak in the world is in the United States. The total number of confirmed new cases of COVID-19 and the total number of new deaths in the United States have entered their second and third cyclical peaks since the White House announced the ""Open America Again"" guidelines on April 16, 2020, and the start of the US presidential election season in August 2020. This paper combines the generalized exponential model (EXPM) with Chebyshev polynomials to develop a special generalized growth model (GGM) to predict the total number of daily new confirmed cases and the total number of new deaths in the United States for three periods under a 14-day sensitivity regression model. In this paper, the US epidemic is divided into three periods from early January 2020 to early January 2021, and three forecasts are made for the three periods. The first two prediction periods have already occurred and the predictions match well with known results, and the third period predicts that the total number of new confirmed cases of COVID-19 and the total number of new deaths in the United States will fall to a minimum level by next July, when the supply of COVID-19 vaccine has already begun. The results suggest that the ""Open America Again"" policy and the events of the 2020 US presidential election season have contributed to the worsening of the COVID-19 in the United States.",Epidemic Forecasting;Prevention
34124240,Modelling the Transmission Dynamics of COVID-19 in Six High-Burden Countries.,,"The new Coronavirus Disease 19, officially known as COVID-19, originated in China in 2019 and has since spread worldwide. We presented an age-structured Susceptible-Latent-Mild-Critical-Removed (SLMCR) compartmental model of COVID-19 disease transmission with nonlinear incidence during the pandemic period. We provided the model calibration to estimate parameters with day-wise COVID-19 data, i.e., reported cases by worldometer from 15(th) February to 30(th) March 2020 in six high-burden countries, including Australia, Italy, Spain, the USA, the UK, and Canada. We estimate transmission rates for each country and found that the country with the highest transmission rate is Spain, which may increase the new cases and deaths than the other countries. We found that saturation infection negatively impacted the dynamics of COVID-19 cases in all the six high-burden countries. The study used a sensitivity analysis to identify the most critical parameters through the partial rank correlation coefficient method. We found that the transmission rate of COVID-19 had the most significant influence on prevalence. The prediction of new cases in COVID-19 until 30(th) April 2020 using the developed model was also provided with recommendations to control strategies of COVID-19. We also found that adults are more susceptible to infection than both children and older people in all six countries. However, in Italy, Spain, the UK, and Canada, older people show more susceptibility to infection than children, opposite to the case in Australia and the USA. The information generated from this study would be helpful to the decision-makers of various organisations across the world, including the Ministry of Health in Australia, Italy, Spain, the USA, the UK, and Canada, to control COVID-19.",Epidemic Forecasting;Prevention;Transmission
34121965,Short-term prediction of COVID-19 spread using grey rolling model optimized by particle swarm optimization.,"covid-19;grey modelling (1,1);narnn;particle swarm optimization;prediction;rolling mechanism","The prediction of the spread of coronavirus disease 2019 (COVID-19) is vital in taking preventive and control measures to reduce human health damage. The Grey Modelling (1,1) is a popular approach used to construct a predictive model with a small-sized dataset. In this study, a hybrid model based on grey prediction and rolling mechanism optimized by particle swarm optimization algorithm (PSO) was applied to create short-term estimates of the total number of confirmed COVID-19 cases for three countries, Germany, Turkey, and the USA. A rolling mechanism that updates data in equal dimensions was applied to improve the forecasting accuracy of the models. The PSO algorithm was used to optimize the Grey Modelling parameters (1,1) to provide more robust and efficient solutions with minimum errors. To compare the accuracy of the predictive models, a nonlinear autoregressive neural network (NARNN) was also developed. According to the analysis results, Grey Rolling Modelling (1,1) optimized by PSO algorithm performs better than the classical Grey Modelling (1,1), Grey Rolling Modelling (1,1), and NARNN models for predicting the total number of confirmed COVID-19 cases. The present study can provide an important basis for countries to allocate health resources and formulate epidemic prevention policies effectively.",Epidemic Forecasting;Prevention
34121809,Nonlinear models: a case of the COVID-19 confirmed rates in top 8 worst affected countries.,covid-19;confirmed rate;generalized additive model;kalman filter;time-varying linearity,"Over the last 9 months, the most prominent global health threat has been COVID-19. It first appeared in Wuhan, China, and then rapidly spread throughout the world. Since no treatment or preventative strategy has been identified until this time, millions of people across the world have been seriously affected by COVID-19. The modelling and prediction of confirmed COVID-19 cases have been given much attention by government policymakers for the purpose of combating it more effectively. For this purpose, the modelling and prediction performances of the linear model (LM), generalized additive model(GAM) and the time-varying linear model (Tv-LM) via Kalman filter are compared. This has never yet been undertaken in the literature. This comparative analysis also evaluates the linear relationship between the confirmed cases of COVID-19 in individual countries with the world. The analysis is implemented using daily COVID-19 confirmed rates of the top 8 most heavily affected countries and that of the world between 11 March and 21 December 2020 and 14-day forward predictions. The empirical findings show that the Tv-LM outperforms others in terms of model fit and predictability, suggesting that the relationship between each country's rates with the world's should be locally linear, not globally linear.",Epidemic Forecasting
34118731,Nonlinear dynamics for the spread of pathogenesis of COVID-19 pandemic.,covid-19;lyapunov exponents;phase space;rna genome;time domainic analysis,"Coronaviruses did not invite attention at a global level and responsiveness until the series of 2003-SARS contagion followed by year-2012 MERS plus, most recently, 2019-nCoV eruptions. SARS-CoV &MERS-CoV are painstaking, extremely pathogenic. Also, very evidently, both have been communicated from bats to palm-civets & dromedary camels and further transferred ultimately to humans. No country has been deprived of this viral genomic contamination wherever populaces reside and are interconnected. This study aimed to develop a mathematical model for calculating the transmissibility of this viral genome. The analysis aids the study of the outbreak of this Virus towards the other parts of the continent and the world. The parameters such as population mobility, natural history, epidemiological characteristics, and the transmission mechanism towards viral spread when considered into crowd dynamism result in improved estimation. This article studies the impact of time on the amount of susceptible, exposed, the infected person taking into account asymptomatic and symptomatic ones; recovered i.e., removed from this model and the virus particles existing in the open surfaces. The transition from stable phase to attractor phase happens after 13 days i.e.; it takes nearly a fortnight for the spread to randomize among people. Further, the pandemic transmission remains in the attractor phase for a very long time if no control measures are taken up. The attractor-source phase continues up to 385 days i.e., more than a year, and perhaps stabilizes on 386th day as per the Lyapunov exponent's analysis. The time series helps to know the period of the Virus's survival in the open sources i.e. markets, open spaces and various other carriers of the Virus if not quarantined or sanitized. The Virus cease to exist in around 60 days if it does not find any carrier or infect more places, people etc. The changes in LCEs of all variables as time progresses for around 400 days have been forecasted. It can be observed that phase trajectories indicate how the two variables interact with each other and affect the overall system's dynamics. It has been observed that for exposed and asymptomatically infected (y-z), as exposed ones (y) change from 0 to 100 the value of asymptomatically infected (z) increased upto around 58, at exposed ones (y)=100, asymptomatically infected (z) has two values as 58 and 10 i.e. follows bifurcation and as exposed ones (y) changes values upto 180, the value of asymptomatically infected (z) decreases to 25 so for exposed ones (y) from 100 to 180, asymptomatically infected (z) varies from 58 to 25 to 10 follows bifurcation. Also, phase structures of exposed-symptomatically infected (y-u), exposed-removed (y-v), exposed-virus in the reservoir (y-w), asymptomatically infected-removed (z-v), symptomatically infected-removed (u-v) specifically depict bifurcations in various forms at different points. In case of asymptomatically infected-virus in the reservoir (z-w), at asymptomatically infected (z)=10, the value of viruses in the reservoir (w)=50, then as asymptomatically infected (z) increases to upto around 60. At this point, removed ones (v) increase from 50 to 70 and asymptomatically infected (z) decrease to 20 i.e., crosses the same value twice, which shows its limiting is known as limit cycle behavior and both the values tend to decrease towards zero. It shows a closed-loop limit cycle. Today, there has been no scientific revolution in the development of vaccination, nor has any antiviral treatment been successful, resulting in lack of its medication. Based on the phases, time series, and complexity analysis of the model's various parameters, it is studied to understand the variation in this pandemic's scenario.",Epidemic Forecasting;Prevention;Transmission
34118730,COVID-19 prevalence forecasting using Autoregressive Integrated Moving Average (ARIMA) and Artificial Neural Networks (ANN): Case of Turkey.,ann;arima;covid-19;forecasting;turkey,"A local outbreak of unknown pneumonia was detected in Wuhan (Hubei, China) in December 2019. It is determined to be caused by a severe acute respiratory syndrome coronavirus 2 (SARS-COV-2) and called COVID-19 by scientists. The outbreak has since spread all over the world with a total of 120,815,512 cases and 2,673,308 deaths as of 16 March 2021. The health systems in the world collapsed in many countries due to the pandemic and many countries were negatively affected in the social life. In such situations, it is very important to predict the load that will occur in the health system of a country. In this study, the COVID-19 prevalence of Turkey is inspected. The infected cases, the number of deaths, and the recovered cases are predicted with Autoregressive Integrated Moving Average (ARIMA) and Artificial Neural Networks (ANN) in Turkey. The techniques are compared in terms of correlation coefficient and mean square error (MSE). The results showed that the used techniques used are very successful in the estimation of prevalence in Turkey.",Epidemic Forecasting
34117868,The incubation period distribution of coronavirus disease 2019 (COVID-19): a systematic review and meta-analysis.,,"Incubation period is an important parameter to inform quarantine period and to study transmission dynamics of infectious diseases. We conducted a systematic review and meta-analysis on published estimates of the incubation period distribution of COVID-19, and showed that the pooled median of the point estimates of the mean, median and 95 th percentile for incubation period are 6.3 days (range: 1.8 to 11.9 days), 5.4 days (range: 2.0 to 17.9 days) and 13.1 days (range: 3.2 to 17.8 days) respectively. Estimates of the mean and 95 th percentile of the incubation period distribution were considerably shorter before the epidemic peak in China compared to after the peak, and variation was also noticed for different choices of methodological approach in estimation. Our findings implied that corrections may be needed before directly applying estimates of incubation period into control of or further studies on emerging infectious diseases.",Epidemic Forecasting;Prevention;Transmission
34117858,Exploring early prevention and control of COVID-19 outbreak based on system dynamics model analysis.,coronavirus disease 2019;epidemic prevention and control;sensitivity analysis;susceptible-exposed-infectious-recovered model;system dynamics model,To explore early prevention and control of coronavirus disease 2019 COVID-19 outbreak based on system dynamics model analysis. The data of early outbreak of COVID-19 were collected from the World Health Organizationcovering countries of the ChinaUnited StatesUnited KingdomAustraliaSerbia and Italy. The susceptible-exposed-infected-recovered SEIR model was generalized and then its parameters were optimized. According to the parameters in the basic infection number expressionthe sensitivity in the system dynamics model was used to quantitatively analyze the influence of the protection rateinfection rate and average quarantine time on the early spread of the outbreak. Based on the analysis resultstargeted prevention and control measures for the early outbreak of COVID-19 were proposed. The generalized SEIR model had a good fit for the early prediction and evaluation of COVID-19 outbreaks in six countries. The spread of COVID-19 was mainly affected by the protection rateinfection rate and average quarantine time. The improvement of the protection rate in the first ays was the most important:the greater the protection ratethe fewer the number of confirmed cases. The infection rate in the first 5 days was the most critical:the smaller the infection ratethe fewer the number of confirmed cases. The average quarantine time in the first 5 days was very important:the shorter the average quarantine timethe fewer the number of confirmed cases. Through the comparison of key parameters of six countriesAustralia and China had implemented strict epidemic prevention policieswhich had resulted in good epidemic prevention effects. In the early stage of the outbreakit is necessary to improve the protection rateshorten the average quarantine timeand implement strict isolation policies to curb the spread of COVID-19.,Epidemic Forecasting;Prevention
34117853,Predicting COVID-19 epidemiological trend by applying population mobility data in two-stage modeling.,coronavirus disease 2019 china;imported cases;indigenous cases;prediction;susceptible-exposed-infectious-recovered model,":To predict the epidemiological trend of coronavirus disease 2019 (COVID-19) by mathematical modeling based on the population mobility and the epidemic prevention and control measures. : As of February 82020the information of 151 confirmed cases in YueqingZhejiang province were obtainedincluding patients' infection processpopulation mobility between Yueqing and Wuhanetc. To simulate and predict the development trend of COVID-19 in Yueqing, the study established two-stage mathematical modelsintegrating the population mobility data with the date of symptom appearance of confirmed cases and the transmission dynamics of imported and local cases. : It was found that in the early stage of the pandemicthe number of daily imported cases from Wuhan (using the date of symptom appearance) was positively associated with the number of population travelling from Wuhan to Yueqing on the same day and 6 and 9 days before that. The study predicted that the final outbreak size in Yueqing would be 170 according to the number of imported cases estimated by consulting the population number travelling from Wuhan to Yueqing and the susceptible-exposed-infectious-recovered (SEIR) model; while the number would be 165 if using the reported daily number of imported cases. These estimates were close to the 170the actual monitoring number of cases in Yueqing as of April 272020. : The two-stage modeling approach used in this study can accurately predict COVID-19 epidemiological trend.",Epidemic Forecasting;Prevention
34116895,Probabilistic forecasts of COVID-19 deaths with the progression rate from pneumonia to ARDS: An open-data-based global study.,ards;covid-19;case-fatality rate;disease progression;forecasting,"BACKGROUND: Cumulative data of case-fatality rates (CFR) of COVID-19 varied across countries. A forecasting model generated based on detailed information from three countries during the initial phase of pandemic showed that progression rates from pneumonia to ARDS (PRPA) varied by country and were highly associated with CFR. We aim to elucidate the impact of the PRPA on COVID-19 deaths in different periods of pandemic. METHODS: We used the country-based, real-time global COVID-19 data through GitHub repository to estimate PRPA on the first period (January to June), second period (July to September), and third period (October to December) in 2020. PRPA was used for predicting COVID-19 deaths and assessing the reduction in deaths in subsequent two periods. RESULTS: The estimated PRPA varied widely from 0.38% to 51.36%, with an average of 15.99% in the first period. The PRPA declined to 8.44% and 6.35% in the second and third period. The CFR declined stepwise and was 4.94%, 2.61%, and 1.96%, respectively. Some countries exhibited a decrease in the PRPA from the second to the third period whereas others showed the opposite, particularly where selected viral mutants were prevalent. Overall, the number of observed deaths was lower than that of the predicted deaths in the second and third periods, suggesting an improvement in management of COVID-19 patients. Besides, the degree of improvement depends on the extent of change in PRPA. CONCLUSION: PRPA is a useful indicator to facilitate decision making and assess the improvement of clinical management and medical capacity by forecasting deaths.",Epidemic Forecasting
34114187,Estimating the asymptomatic proportion of SARS-CoV-2 infection in the general population: Analysis of nationwide serosurvey data in the Netherlands.,asymptomatic disease;sars-cov-2;serosurvey;the netherlands,"BACKGROUND: The proportion of SARS-CoV-2 positive persons who are asymptomatic-and whether this proportion is age-dependent-are still open research questions. Because an unknown proportion of reported symptoms among SARS-CoV-2 positives will be attributable to another infection or affliction, the observed, or 'crude' proportion without symptoms may underestimate the proportion of persons without symptoms that are caused by SARS-CoV-2 infection. METHODS: Based on two rounds of a large population-based serological study comprising test results on seropositivity and self-reported symptom history conducted in April/May and June/July 2020 in the Netherlands (n = 7517), we estimated the proportion of reported symptoms among those persons infected with SARS-CoV-2 that is attributable to this infection, where the set of relevant symptoms fulfills the ECDC case definition of COVID-19, using inferential methods for the attributable risk (AR). Generalised additive regression modelling was used to estimate the age-dependent relative risk (RR) of reported symptoms, and the AR and asymptomatic proportion (AP) were calculated from the fitted RR. RESULTS: Using age-aggregated data, the 'crude' AP was 37% but the model-estimated AP was 65% (95% CI 63-68%). The estimated AP varied with age, from 74% (95% CI 65-90%) for < 20 years, to 61% (95% CI 57-65%) for the 50-59 years age-group. CONCLUSION: Whereas the 'crude' AP represents a lower bound for the proportion of persons infected with SARS-CoV-2 without COVID-19 symptoms, the AP as estimated via an attributable risk approach represents an upper bound. Age-specific AP estimates can inform the implementation of public health actions such as targetted virological testing and therefore enhance containment strategies.",Diagnosis;Epidemic Forecasting;Prevention
34113453,The ecological dynamics of the coronavirus epidemics during transmission from outside sources when R 0 is successfully managed below one.,leslie theory;corona;ecological dynamics;epidemics;epidemiology;transmission,"Since COVID-19 spread globally in early 2020 and was declared a pandemic by the World Health Organization (WHO) in March, many countries are managing the local epidemics effectively through intervention measures that limit transmission. The challenges of immigration of new infections into regions and asymptomatic infections remain. Standard deterministic compartmental models are inappropriate for sub- or peri-critical epidemics (reproductive number close to or less than one), so individual-based models are often used by simulating transmission from an infected person to others. However, to be realistic, these models require a large number of parameters, each with its own set of uncertainties and lack of analytic tractability. Here, we apply stochastic age-structured Leslie theory with a long history in ecological research to provide some new insights to epidemic dynamics fuelled by external imports. We model the dynamics of an epidemic when R 0 is below one, representing COVID-19 transmission following the successful application of intervention measures, and the transmission dynamics expected when infections migrate into a region. The model framework allows more rapid prediction of the shape and size of an epidemic to improve scaling of the response. During an epidemic when the numbers of infected individuals are rapidly changing, this will help clarify the situation of the pandemic and guide faster and more effective intervention.",Epidemic Forecasting;Prevention;Transmission
34112086,Forecasting the spread of COVID-19 using LSTM network.,covid-19;end date prediction;long short-term memory (lstm);pandemic,"BACKGROUND: The novel coronavirus (COVID-19) is caused by severe acute respiratory syndrome coronavirus 2, and within a few months, it has become a global pandemic. This forced many affected countries to take stringent measures such as complete lockdown, shutting down businesses and trade, as well as travel restrictions, which has had a tremendous economic impact. Therefore, having knowledge and foresight about how a country might be able to contain the spread of COVID-19 will be of paramount importance to the government, policy makers, business partners and entrepreneurs. To help social and administrative decision making, a model that will be able to forecast when a country might be able to contain the spread of COVID-19 is needed. RESULTS: The results obtained using our long short-term memory (LSTM) network-based model are promising as we validate our prediction model using New Zealand's data since they have been able to contain the spread of COVID-19 and bring the daily new cases tally to zero. Our proposed forecasting model was able to correctly predict the dates within which New Zealand was able to contain the spread of COVID-19. Similarly, the proposed model has been used to forecast the dates when other countries would be able to contain the spread of COVID-19. CONCLUSION: The forecasted dates are only a prediction based on the existing situation. However, these forecasted dates can be used to guide actions and make informed decisions that will be practically beneficial in influencing the real future. The current forecasting trend shows that more stringent actions/restrictions need to be implemented for most of the countries as the forecasting model shows they will take over three months before they can possibly contain the spread of COVID-19.",Epidemic Forecasting;Prevention
34111834,Forecast modeling to identify changes in pediatric emergency department utilization during the COVID-19 pandemic.,covid-19;delivery of health care;emergency service;hospital;hospitals;pediatric,"OBJECTIVE: To identify trends in pediatric emergency department (ED) utilization following the COVID-19 pandemic. METHODS: We performed a cross-sectional study from 37 geographically diverse US children's hospitals. We included ED encounters between January 1, 2010 and December 31, 2020, transformed into time-series data. We constructed ensemble forecasting models of the most common presenting diagnoses and the most common diagnoses leading to admission, using data from 2010 through 2019. We then compared the most common presenting diagnoses and the most common diagnoses leading to admission in 2020 to the forecasts. RESULTS: 29,787,815 encounters were included, of which 1,913,085 (6.4%) occurred during 2020. ED encounters during 2020 were lower compared to prior years, with a 65.1% decrease in April relative to 2010-2019. In forecasting models, encounters for depression and diabetic ketoacidosis remained within the 95% confidence interval [CI]; fever, bronchiolitis, hyperbilirubinemia, skin/subcutaneous infections and seizures occurred within the 80-95% CI during the portions of 2020, and all other diagnoses (abdominal pain, otitis media, asthma, pneumonia, trauma, upper respiratory tract infections, and urinary tract infections) occurred below the predicted 95% CI. CONCLUSION: Pediatric ED utilization has remained low following the COVID-19 pandemic, and below forecasted utilization for most diagnoses. Nearly all conditions demonstrated substantial declines below forecasted rates from the prior decade and which persisted through the end of the year. Some declines in non-communicable diseases may represent unmet healthcare needs among children. Further study is warranted to understand the impact of policies aimed at curbing pandemic disease on children.",Epidemic Forecasting;Prevention
34108819,Study on the mathematical modelling of COVID-19 with Caputo-Fabrizio operator.,covid-19;caputo-fabrizio operator;existence and uniqueness;fractional epidemic model;numerical simulations,"In this article we study a fractional-order mathematical model describing the spread of the new coronavirus (COVID-19) under the Caputo-Fabrizio sense. Exploiting the approach of fixed point theory, we compute existence as well as uniqueness of the related solution. To investigate the exact solution of our model, we use the Laplace Adomian decomposition method (LADM) and obtain results in terms of infinite series. We then present numerical results to illuminate the efficacy of the new derivative. Compared to the classical order derivatives, our obtained results under the new notion show better results concerning the novel coronavirus model.",Epidemic Forecasting
34108815,COVID-19 outbreak in India: an SEIR model-based analysis.,covid-19;epidemiology;seir model,"We present a modelling and analysis of the COVID-19 outbreak in India with an emphasis on the socio-economic composition, based on the progress of the pandemic (during its first phase-from March to August 2020) in 11 federal states where the outbreak is the largest in terms of the total number of infectives. Our model is based on the susceptible-exposed-infectives-removed (SEIR) model, including an asymptomatic transmission rate, time-dependent incubation period and time-dependent transmission rate. We carry out the analysis with the available disease data up to the end of August 2020, with a projection of 42 days into the months of September and October 2020, based on the past data. Overall, we have presented a projection up to 351 days (till February 2021) for India and we have found that our model is able to predict correctly the first phase of the pandemic in India with correct projections of the peak of the pandemic as well as daily new infections. We also find the existence of a critical day, signifying a sudden shift in the transmission pattern of the disease, with interesting relation of the behaviour of the pandemic with demographic and socio-economic parameters. Towards the end, we have modelled the available data with the help of logistic equations and compare this with our model. The results of this work can be used as a future guide to follow in case of similar pandemics in developing countries.",Epidemic Forecasting;Prevention
34108505,Dynamics based on analysis of public data for spreading of disease.,,"The stochastic model for epidemic spreading of the novel coronavirus disease based on the data set supply by the public health agencies in countries as Brazil, United States and India is investigated. We perform a numerical analysis using the stochastic differential equation in Ito's calculus for the estimating of novel cases daily, as well as analytical calculations solving the correspondent Fokker-Planck equation for the probability density distribution of novel cases, P(N(t), t). Our results display that the model based in the Ito's diffusion fits well to the results due to uncertainty in the official data and to the number of tests realized in populations of each country.",Epidemic Forecasting
