pmid,title,keywords,abstract,labels
33973912,An Eye on COVID-19: A Meta-analysis of Positive Conjunctival Reverse Transcriptase-Polymerase Chain Reaction and SARS-CoV-2 Conjunctivitis Prevalence.,,"SIGNIFICANCE: This analysis and review demonstrate that, although emerging data indicate that the prevalence of severe acute respiratory coronavirus 2 (SARS-CoV-2) on the ocular surface and coronavirus disease 2019 (COVID-19) conjunctivitis is rare, the ocular surface remains of interest as a potential inoculation and transmission site for SARS-CoV-2. Continued safety precautions should be taken as more data become available.COVID-19, caused by SARS-CoV-2, is a novel, global pandemic that has infected millions and, up to this point, caused more than two million fatalities worldwide. The ocular surface has become of interest as a possible vector for transmission by acting as a direct inoculation site, being a conduit for the virus into the respiratory system or as a method of transmission from potentially infected conjunctiva or tears. The components necessary for SARS-CoV-2 to theoretically infect ocular tissues are present: binding receptors (angiotensin-converting enzyme 2 and cluster of differentiation 147) and mechanisms for cell entry (transmembrane protease serine 2 and cathepsin L). This meta-analysis of COVID-19 prevalence data indicates that SARS-CoV-2 RNA has been infrequently found in conjunctival samples when tested with reverse transcriptase-polymerase chain reaction. This review estimates the prevalence of SARS-CoV-2 on the ocular surface and prevalence of conjunctivitis in patients with laboratory-confirmed COVID-19. There is much to be learned regarding ocular tropism of SARS-CoV-2.",Diagnosis;Mechanism;Transmission
33973182,"Coronavirus Diseases in Pregnant Women, the Placenta, Fetus, and Neonate.",,"Severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), the etiological agent of coronavirus disease 2019 (COVID-19), is similar to two other coronaviruses, severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV), in causing life-threatening respiratory infections and systemic complications in both children and adults. As the COVID-19 pandemic has continued to spread globally, increasing numbers of pregnant women have become infected, raising concern not only for their health but also for the health of their infants. This chapter discusses the effects of coronavirus infections, e.g., MERS, SARS, and COVID 19, on pregnancy and describes the evolving knowledge of COVID 19 among pregnant women. The physiological changes that occur in pregnancy, especially changes in the immune system, are reviewed in terms of their effect on susceptibility to infectious diseases. The effects of COVID-19 on the placenta, fetus, and neonate are also reviewed, including potential clinical outcomes and issues relating to testing and diagnosis. The potential mechanisms of vertical transmission of the virus between pregnant women and their infants are analyzed, including intrauterine, intrapartum, and postpartum infections. Several recent studies have reported the detection of SARS-CoV-2 in tissues from the fetal side of the placenta, permitting the diagnosis of transplacental infection of the fetus by SARS-CoV-2. Placentas from infected mothers in which intrauterine transplacental transmission of SARS-CoV-2 has occurred demonstrate an unusual combination of pathology findings which may represent risk factors for placental as well as fetal infection.",Diagnosis;Mechanism;Transmission
33973176,"How COVID-19 Has Globalized: Unknown Origin, Rapid Transmission, and the Immune System Nourishment.",,"The novel coronavirus disease (COVID-19) profoundly influences T-cell immunity. The counts of total T cells and T-cell subsets, especially CD4+ and CD8+ T cells, are decreased in patients with COVID-19. Also, the function of these cells becomes less effective as the expression of immune inhibitory receptors, such as Tim3 and PD-1, increases over time during the disease. Kinetic analyses show that the T-cell profile changes dynamically, so does the COVID-19 stages. As COVID-19 continues to deteriorate and progresses to severe/critical condition, the lymphocyte count steadily decreases. Therefore, the ability of COVID-19 to escape the immune system might lie in its power to profoundly diminish T-cell effective function, which is necessary for the establishment of a robust antiviral immunity. Also, COVID-19 is associated with increased numbers of monocytes and macrophages, and as the disease progresses from a mild form to a severe/critical condition, the macrophage population becomes denser. Monitoring the expression of cytokines associated with macrophage activation, mainly interleukin (IL)-6 and IL-10, indicates that the course of COVID-19 consists of two stages and the transition between disease stages occurs by the end of the first week after onset of symptoms. At the initial stage, the immune military recognizes the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) as nonself and thus fires macrophages at the lungs against the virus. The first flame can control disease progression effectively. However, a trained immunocompetent system would maintain the fire of macrophages over an extended time. It lies in its immune memory in tissue-resident macrophages, especially alveolar macrophages, making a professionally trained immune system more likely to be feared by COVID-19 than an untrained immune system. In this manner, the trained immunocompetent system commits such a failure that causes the lungs to come down rapidly. The fact that younger age groups, including neonates and children, are less susceptible to COVID-19 than older age groups reflects that the natural affinities of the immune system that has not been trained thoroughly would be standard in combatting against COVID-19 whereas the higher affinities of the trained immune system for rapid activation of immune responses might raise faults - the lungs come down.",Mechanism;Transmission;Treatment
33972994,"SARS-CoV-2 infectivity by viral load, S gene variants and demographic factors and the utility of lateral flow devices to prevent transmission.",,"BACKGROUND: How SARS-CoV-2 infectivity varies with viral load is incompletely understood. Whether rapid point-of-care antigen lateral flow devices (LFDs) detect most potential transmission sources despite imperfect clinical sensitivity is unknown. METHODS: We combined SARS-CoV-2 testing and contact tracing data from England between 01-September-2020 and 28-February-2021. We used multivariable logistic regression to investigate relationships between PCR-confirmed infection in contacts of community-diagnosed cases and index case viral load, S gene target failure (proxy for B.1.1.7 infection), demographics, SARS-CoV-2 incidence, social deprivation, and contact event type. We used LFD performance to simulate the proportion of cases with a PCR-positive contact expected to be detected using one of four LFDs. RESULTS: 231,498/2,474,066(9%) contacts of 1,064,004 index cases tested PCR-positive. PCR-positive results in contacts independently increased with higher case viral loads (lower Ct values) e.g., 11.7%(95%CI 11.5-12.0%) at Ct=15 and 4.5%(4.4-4.6%) at Ct=30. B.1.1.7 infection increased PCR-positive results by ~50%, (e.g. 1.55-fold, 95%CI 1.49-1.61, at Ct=20). PCR-positive results were most common in household contacts (at Ct=20.1, 8.7%[95%CI 8.6-8.9%]), followed by household visitors (7.1%[6.8-7.3%]), contacts at events/activities (5.2%[4.9-5.4%]), work/education (4.6%[4.4-4.8%]), and least common after outdoor contact (2.9%[2.3-3.8%]). Contacts of children were the least likely to test positive, particularly following contact outdoors or at work/education. The most and least sensitive LFDs would detect 89.5%(89.4-89.6%) and 83.0%(82.8-83.1%) of cases with PCR-positive contacts respectively. CONCLUSIONS: SARS-CoV-2 infectivity varies by case viral load, contact event type, and age. Those with high viral loads are the most infectious. B.1.1.7 increased transmission by ~50%. The best performing LFDs detect most infectious cases.",Diagnosis;Prevention;Transmission
33972582,Environmental determinants of COVID-19 transmission across a wide climatic gradient in Chile.,,"Several studies have examined the transmission dynamics of the novel COVID-19 disease in different parts of the world. Some have reported relationships with various environmental variables, suggesting that spread of the disease is enhanced in colder and drier climates. However, evidence is still scarce and mostly limited to a few countries, particularly from Asia. We examined the potential role of multiple environmental variables in COVID-19 infection rate [measured as mean relative infection rate = (number of infected inhabitants per week / total population) x 100.000) from February 23 to August 16, 2020 across 360 cities of Chile. Chile has a large climatic gradient ( approximately 40 masculine of latitude, approximately 4000 m of altitude and 5 climatic zones, from desert to tundra), but all cities share their social behaviour patterns and regulations. Our results indicated that COVID-19 transmission in Chile was mostly related to three main climatic factors (minimum temperature, atmospheric pressure and relative humidity). Transmission was greater in colder and drier cities and when atmospheric pressure was lower. The results of this study support some previous findings about the main climatic determinants of COVID-19 transmission, which may be useful for decision-making and management of the disease.",Prevention;Transmission
33972448,Alcohol narrows physical distance between strangers.,,"Pandemic management is likely to represent a global reality for years to come, but the roadmap for how to approach pandemic restrictions is as yet unclear. Of the restrictions enacted during COVID-19, among the more controversial surround alcohol. Like many infectious diseases, the principal mode of transmission for COVID-19 is direct respiration of droplets emitted during close social contact, and health officials warn that alcohol consumption may lead to decreased adherence to physical distancing guidelines. Governing bodies have acted to close bars before restaurants and have also specifically restricted alcohol sales, while at the same time those in the nightlife industry have labeled such actions unfounded and discriminatory. Complicating such debates is the lack of evidence on alcohol's effects on physical distance. In the current study we employed a randomized alcohol-administration design paired with computer-vision measures, analyzing over 20,000 proximity readings derived from video to examine the effect of alcohol consumption on physical distance during social interaction. Results indicated that alcohol caused individuals to draw significantly closer to an unfamiliar interaction partner during social exchange, reducing physical proximity at a rate with potentially important implications for public health. In contrast, alcohol had no effect on physical distance with a familiar interaction partner. Findings suggest that alcohol might act to overcome a natural caution people feel towards strangers and thus promote virus transmission between previously unconnected social groups.",Prevention;Transmission
33971305,Paired SARS-CoV-2 spike protein mutations observed during ongoing SARS-CoV-2 viral transfer from humans to minks and back to humans.,,"A mutation analysis of SARS-CoV-2 genomes collected around the world sorted by sequence, date, geographic location, and species has revealed a large number of variants from the initial reference sequence in Wuhan. This analysis also reveals that humans infected with SARS-CoV-2 have infected mink populations in the Netherlands, Denmark, United States, and Canada. In these animals, a small set of mutations in the spike protein receptor binding domain (RBD), often occurring in specific combinations, has transferred back into humans. The viral genomic mutations in minks observed in the Netherlands and Denmark show the potential for new mutations on the SARS-CoV-2 spike protein RBD to be introduced into humans by zoonotic transfer. Our data suggests that close attention to viral transfer from humans to farm animals and pets will be required to prevent build-up of a viral reservoir for potential future zoonotic transfer.",Mechanism;Transmission
33970085,"Time-varying Reproduction Numbers of COVID-19 in Georgia, USA, March 2, 2020 to November 20, 2020.",,"BACKGROUND: In 2020, Severe Acute Respiratory Syndrome Coronavirus 2 impacted Georgia, USA. Georgia announced a state-wide shelter-in-place on April 2 and partially lifted restrictions on April 27. We estimated the time-varying reproduction numbers (Rt) of COVID-19 in Georgia, Metro Atlanta, and Dougherty County and environs from March 2, 2020, to November 20, 2020. METHODS: We analyzed the daily incidence of confirmed COVID-19 cases in Georgia, Metro Atlanta, and Dougherty County and its surrounding counties, and estimated Rt using the R package EpiEstim. We used a 9-day correction for the date of report to analyze the data by assumed date of infection. RESULTS: The median Rt estimate in Georgia dropped from between 2 and 4 in mid-March to < 2 in late March to around 1 from mid-April to November. Regarding Metro Atlanta, Rt fluctuated above 1.5 in March and around 1 since April. In Dougherty County, the median Rt declined from around 2 in late March to 0.32 on April 26. Then, Rt fluctuated around 1 in May through November. Counties surrounding Dougherty County registered an increase in Rt estimates days after a superspreading event occurred in the area. CONCLUSIONS: In Spring 2020, Severe Acute Respiratory Syndrome Coronavirus 2 transmission in Georgia declined likely because of social distancing measures. However, because restrictions were relaxed in late April and elections were conducted in November, community transmission continued, with Rt fluctuating around 1 across Georgia, Metro Atlanta, and Dougherty County as of November 2020. The superspreading event in Dougherty County affected surrounding areas, indicating the possibility of local transmission in neighboring counties.",Prevention;Transmission
33969168,Risk of SARS-CoV-2 transmission from humans to bats - An Australian assessment.,,"SARS-CoV-2, the cause of COVID-19, infected over 100 million people globally by February 2021. Reverse zoonotic transmission of SARS-CoV-2 from humans to other species has been documented in pet cats and dogs, big cats and gorillas in zoos, and farmed mink. As SARS-CoV-2 is closely related to known bat viruses, assessment of the potential risk of transmission of the virus from humans to bats, and its subsequent impacts on conservation and public health, is warranted. A qualitative risk assessment was conducted by a multi-disciplinary group to assess this risk in bats in the Australian context, with the aim of informing risk management strategies for human activities involving interactions with bats. The overall risk of SARS-CoV-2 establishing in an Australian bat population was assessed to be Low, however with a High level of uncertainty. The outcome of the assessment indicates that, for the Australian situation where the prevalence of COVID-19 in humans is very low, it is reasonable for research and rehabilitation of bats to continue, provided additional biosecurity measures are applied. Risk assessment is challenging for an emerging disease where information is lacking and the situation is changing rapidly; assessments should be revised if human prevalence or other important factors change significantly. The framework developed here, based on established animal disease risk assessment approaches adapted to assess reverse zoonotic transmission, has potential application to a range of wildlife species and situations.",Prevention;Transmission
33967585,An opinion on the multiscale nature of Covid-19 type disease spread.,,"Recognizing the multiscale, interdisciplinary nature of the Covid-19 transmission dynamics, we discuss some recent developments concerning an attempt to construct a disease spread model from the flow physics of infectious droplets and aerosols and the frequency of contact between susceptible individuals with the infectious aerosol cloud. Such an approach begins with the exhalation event-specific, respiratory droplet size distribution (both airborne/aerosolized and ballistic droplets), followed by tracking its evolution in the exhaled air to estimate the probability of infection and the rate constants of the disease spread model. The basic formulations and structure of submodels, experiments involved to validate those submodels, are discussed. Finally, in the context of preventive measures, respiratory droplet-face mask interactions are described.",Prevention;Transmission
33967552,Paediatric gastrointestinal disorders in SARS-CoV-2 infection: Epidemiological and clinical implications.,,"The coronavirus disease 2019 (COVID-19) pandemic is a threat worldwide for individuals of all ages, including children. Gastrointestinal manifestations could be the initial presenting manifestation in many patients, especially in children. These symptoms are more common in patients with severe disease than in patients with non-severe disease. Approximately 48.1% of patients had a stool sample that was positive for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) viral RNA. Children typically form 1%-8% of all laboratory-confirmed cases of SARS-CoV-2. Gastrointestinal manifestations of COVID-19 in children are not rare, with a prevalence between 0 and 88%, and a wide variety of presentations, including diarrhoea, vomiting, and abdominal pain, can develop before, with or after the development of respiratory symptoms. Atypical manifestations such as appendicitis or liver injury could also appear, especially in the presence of multisystem inflammatory disease. In this review, we discussed the epidemiology of COVID-19 gastrointestinal diseases in children as well as their implications on the diagnosis, misdiagnosis, prognosis, and faecal-oral transmission route of COVID-19 and the impact of gastrointestinal diseases on the gut microbiome, child nutrition, and disease management.",Diagnosis;Transmission
33967409,"Modeling, analysis and prediction of new variants of covid-19 and dengue co-infection on complex network.",,"Recently, four new strains of SARS-COV-2 were reported in different countries which are mutants and considered as 70 % more dangerous than the existing covid-19 virus. In this paper, hybrid mathematical models of new strains and co-infection in Caputo, Caputo-Fabrizio, and Atangana-Baleanu are presented. The idea behind this co-infection modeling is that, as per medical reports, both dengue and covid-19 have similar symptoms at the early stages. Our aim is to evaluate and predict the transmission dynamics of both deadly viruses. The qualitative study via stability analysis is discussed at equilibria and reproduction number R 0 is computed. For the numerical purpose, Adams-Bashforth-Moulton and Newton methods are employed to obtain the approximate solutions of the proposed model. Sensitivity analysis is carried out to assessed the effects of various biological parameters and rates of transmission on the dynamics of both viruses. We also compared our results with some reported data against infected, recovered, and death cases.",Epidemic Forecasting;Transmission
33967392,Modeling the effects of prosocial awareness on COVID-19 dynamics: Case studies on Colombia and India.,,"The ongoing COVID-19 pandemic has affected most of the countries on Earth. It has become a pandemic outbreak with more than 50 million confirmed infections and above 1 million deaths worldwide. In this study, we consider a mathematical model on COVID-19 transmission with the prosocial awareness effect. The proposed model can have four equilibrium states based on different parametric conditions. The local and global stability conditions for awareness-free, disease-free equilibrium are studied. Using Lyapunov function theory and LaSalle invariance principle, the disease-free equilibrium is shown globally asymptotically stable under some parametric constraints. The existence of unique awareness-free, endemic equilibrium and unique endemic equilibrium is presented. We calibrate our proposed model parameters to fit daily cases and deaths from Colombia and India. Sensitivity analysis indicates that the transmission rate and the learning factor related to awareness of susceptibles are very crucial for reduction in disease-related deaths. Finally, we assess the impact of prosocial awareness during the outbreak and compare this strategy with popular control measures. Results indicate that prosocial awareness has competitive potential to flatten the COVID-19 prevalence curve.",Epidemic Forecasting;Prevention;Transmission
33967376,A systematic approach to estimating the effectiveness of multi-scale IAQ strategies for reducing the risk of airborne infection of SARS-CoV-2.,,"The unprecedented coronavirus disease 2019 (COVID-19) pandemic caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has made more than 125 million people infected and more than 2.7 million people dead globally. Airborne transmission has been recognized as one of the major transmission routes for SARS-CoV-2. This paper presents a systematic approach for evaluating the effectiveness of multi-scale IAQ control strategies in mitigating the infection risk in different scenarios. The IAQ control strategies across multiple scales from a whole building to rooms, and to cubical and personal microenvironments and breathing zone, are introduced, including elevated outdoor airflow rates, high-efficiency filters, advanced air distribution strategies, standalone air cleaning technologies, personal ventilation and face masks. The effectiveness of these strategies for reducing the risk of COVID-19 infection are evaluated for specific indoor spaces, including long-term care facility, school and college, meat plant, retail stores, hospital, office, correctional facility, hotel, restaurant, casino and transportation spaces like airplane, cruise ship, subway, bus and taxi, where airborne transmission are more likely to occur due to high occupancy densities. The baseline cases of these spaces are established according to the existing standards, guidelines or practices. Several integrated mitigation strategies are recommended and classified based on their relative cost and effort of implementation for each indoor space. They can be applied to help meet the current challenge of ongoing COVID-19, and provide better preparation for other possible epidemics and pandemics of airborne infectious diseases in the future.",Prevention;Transmission
33967111,[COVID-19: From a clinician's perspective.],,"Coronavirus disease 2019 (COVID-19) is a respiratory tract infection caused by SARS-CoV-2. As of March 30, 2020, there have been 693,224 reported patients with COVID-19 worldwide, with 1,446 in Japan. Currently, although aspects of the route of transmission are unclear, infection by contact and by inhaling droplets is considered to be the dominant transmission route. Inflammatory symptoms in the upper respiratory tract persist for several days to 1 week after onset, and in some patients symptoms of pneumonia worsen and become severe. The presence of underlying diseases and advanced age are risk factors for increased severity. Diagnosis is based on detection of SARS-CoV-2 by polymerase chain reaction (PCR) testing of nasopharyngeal swabs or sputum. Symptomatic management is the main treatment for this disease. Although the efficacy of several agents is currently being tested, at present there is no effective therapeutic agent. To prevent infection, in addition to standard preventive measures, measures that counteract infection by contact and droplet inhalation are important. In addition, if procedures that cause aerosolization of virus are used, then measures that prevent airborne infection should be implemented.",Diagnosis;Prevention;Transmission
33966919,New Approaches to Anticipate the Risk of Reverse Zoonosis.,,"The coronavirus disease 2019 (COVID-19) pandemic can cause reverse zoonoses (i.e., human-animal transmission of COVID-19). It is vital to utilize up-to-date methods to improve the control, management, and prevention of reverse zoonoses. Awareness of reverse zoonoses should be raised at both individual and regional/national levels for better protection of both humans and animals.",Prevention;Transmission
33966721,Relationship of COVID-19 with pregnancy.,,"COVID-19 a pandemic disease caused by the SARS-CoV2 virus, which has been emerged in Wuhan city China from early December 2019 which subsequently spreading globally. As a consequence of the physiological adaptive changes and immunosuppressive condition during pregnancy are more susceptible to respiratory tract infection and pneumonia that perhaps makes them more at risk to COVID-19. There is scarce information available on COVID-19 pregnancy and no reliable evidence for vertical transmission. It is a concern that newborns are risk from postpartum contamination. Meanwhile, there was no vaccine and specific therapeutic drugs for COVID19. The Multidisciplinary team will manage by close supervision, isolated negative pressure room, and routinely fetal monitoring. The timing and mode of delivery depend on the critical condition of the mother and fetal. The newborns need a14 days period of precautionary isolation. In the present study, addressed the most recent data on 149 pregnant women and 96 newborns with typical symptoms and planning of management which response to COVID-19 that will help for frontline doctor to the management of COVID-19 associated pregnancy and newborns baby. Repeated testing, contact tracing and self-isolation will assist to control the spread of SARS-CoV2 infection and COVID-19 disease until specific vaccine and pharmaceuticals drugs of COVID-19 are available.",Diagnosis;Prevention;Transmission;Treatment
33966351,Tracing genetic signatures of bat-to-human coronaviruses and early transmission of North American SARS-CoV-2.,,"Highly pathogenic coronaviruses, including SARS-CoV-2, SARS-CoV and MERS-CoV, are thought to be transmitted from bats to humans, but the viral genetic signatures that contribute to bat-to-human transmission remain largely obscure. In this study, we identified an identical ribosomal frameshift motif among the three bat-human pairs of viruses and strong purifying selection after jumping from bats to humans. This represents genetic signatures of coronaviruses that are related to bat-to-human transmission. To further trace the early human-to-human transmission of SARS-CoV-2 in North America, a geographically stratified genome-wide association study (North American isolates and the remaining isolates) and a retrospective study were conducted. We determined that the single nucleotide polymorphisms (SNPs) 1,059.C > T and 25,563.G > T were significantly associated with approximately half of the North American SARS-CoV-2 isolates that accumulated largely during March 2020. Retrospectively tracing isolates with these two SNPs was used to reconstruct the early, reliable transmission history of North American SARS-CoV-2, and European isolates (February 26, 2020) showed transmission 3 days earlier than North American isolates and 17 days earlier than Asian isolates. Collectively, we identified the genetic signatures of the three pairs of coronaviruses and reconstructed an early transmission history of North American SARS-CoV-2. We envision that these genetic signatures are possibly diagnosable and predic markers for public health surveillance.",Mechanism;Transmission
33965981,COVID-19 crisis and minimally invasive surgery: a narrative review on intraoperative aerosol viral transmission and their impact on guidelines and clinical practice in Austria.,,"PURPOSE OF REVIEW: The purpose of this review is to evaluate the risk of intraoperative aerosol viral transmission and the impact of updated COVID-19 guidelines on minimally invasive surgery (MIS) in Austria. RECENT FINDINGS: The current literature does not support the risk of intraoperative viral transmission nor does it suggest a harm of minimally invasive procedures in the context of the COVID-19 pandemic. However, medical societies mostly adopted a precautionary approach with a focus on protective measures. Austrian surgeons considered MIS safe during the pandemic and Austria managed to keep the initial outbreak in control. Yet, MIS programs were still affected due to the postponements of elective procedures and switches to other methods by some surgeons. SUMMARY: The postponement and cancellation of MIS caused complexities in health-care delivery in Austria, whilst the evidence to substantiate this precautionary approach is missing. It must be noted, both the guidelines and our review are limited by the scarcity of evidence. In further consequence, regional factors should be considered while taking precautions. Specific studies on the severe acute respiratory syndrome coronavirus type 2 transmission risk during MIS are urgently needed.",Prevention;Transmission
33965795,"Mitigation policies, community mobility, and COVID-19 case counts in Australia, Japan, Hong Kong, and Singapore.",,"OBJECTIVES: The objective of the study was to characterize the timing and trends of select mitigation policies, changes in community mobility, and coronavirus disease 2019 (COVID-19) epidemiology in Australia, Japan, Hong Kong, and Singapore. STUDY DESIGN: Prospective abstraction of publicly available mitigation policies obtained from media reports and government websites. METHODS: Data analyzed include seven kinds of mitigation policies (mass gathering restrictions, international travel restrictions, passenger screening, traveler isolation/quarantine, school closures, business closures, and domestic movement restrictions) implemented between January 1 and April 26, 2020, changes in selected measures of community mobility assessed by Google Community Mobility Reports data, and COVID-19 epidemiology in Australia, Japan, Hong Kong, and Singapore. RESULTS: During the study period, community mobility decreased in Australia, Japan, and Singapore; there was little change in Hong Kong. The largest declines in mobility were seen in places that enforced mitigation policies. Across settings, transit-associated mobility declined the most and workplace-associated mobility the least. Singapore experienced an increase in cases despite the presence of stay-at-home orders, as migrant workers living in dormitories faced challenges to safely quarantine. CONCLUSIONS: Public policies may have different impacts on mobility and transmission of severe acute respiratory coronavirus-2 transmission. When enacting mitigation policies, decision makers should consider the possible impact of enforcement measures, the influence on transmission of factors other than movement restrictions, and the differential impact of mitigation policies on subpopulations.",Prevention;Transmission
33964132,Alignment free sequence comparison methods and reservoir host prediction.,,"MOTIVATION: The emergence and subsequent pandemic of the SARS-CoV-2 virus raised urgent questions about its origin and, particularly, its reservoir host. These types of questions are long-standing problems in the management of emerging infectious diseases and are linked to virus discovery programs and the prediction of viruses that are likely to become zoonotic. Conventional means to identify reservoir hosts have relied on surveillance, experimental studies and phylogenetics. More recently, machine learning approaches have been applied to generate tools to swiftly predict reservoir hosts from sequence data. RESULTS: Here, we extend a recent work that combined sequence alignment and a mixture of alignment-free approaches using a gradient boosting machines (GBMs) machine learning model, which integrates genomic traits (GT) and phylogenetic neighbourhood (PN) signatures to predict reservoir hosts. We add a more uniform approach by applying Machine Learning with Digital Signal Processing (MLDSP)-based structural patterns (M-SP). The extended model was applied to an existing virus/reservoir host dataset and to the SARS-CoV-2 and related viruses and generated an improvement in prediction accuracy. AVAILABILITY AND IMPLEMENTATION: The source code used in this work is freely available at https://github.com/bill1167/hostgbms. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.",Mechanism;Transmission
33963679,'Accidents waiting to happen'-Insights from a simple model on the emergence of infectious agents in new hosts.,,"This study evaluates through modelling the possible individual and combined effect of three populational parameters of pathogens (reproduction rate; rate of novelty emergence; and propagule size) on the colonization of new host species-putatively the most fundamental process leading to the emergence of new infectious diseases. The results are analysed under the theoretical framework of the Stockholm Paradigm using IBM simulations to better understand the evolutionary dynamics of the pathogen population and the possible role of Ecological Fitting. The simulations suggest that all three parameters positively influence the success of colonization of new hosts by a novel parasite population, but contrary to the prevailing belief, the rate of novelty emergence (e.g. mutations) is the least important factor. Maximization of all parameters results in a synergetic facilitation of the colonization and emulates the expected scenario for pathogenic microorganisms. The simulations also provide theoretical support for the retention of the capacity of fast-evolving lineages to retro-colonize their previous host species/lineage by ecological fitting. Capacity is, thus, much larger than we can anticipate. Hence, the results support the empirical observations that opportunity of encounter (i.e. the breakdown in mechanisms for ecological isolation) is a fundamental determinant to the emergence of new associations-especially Emergent Infectious Diseases-and the dynamics of host exploration, as observed in SARS-CoV-2. Insights on the dynamics of Emergent Infectious Diseases derived from the simulations and from the Stockholm Paradigm are discussed.",Mechanism;Transmission
33963259,Incorporating false negative tests in epidemiological models for SARS-CoV-2 transmission and reconciling with seroprevalence estimates.,,"Susceptible-Exposed-Infected-Removed (SEIR)-type epidemiologic models, modeling unascertained infections latently, can predict unreported cases and deaths assuming perfect testing. We apply a method we developed to account for the high false negative rates of diagnostic RT-PCR tests for detecting an active SARS-CoV-2 infection in a classic SEIR model. The number of unascertained cases and false negatives being unobservable in a real study, population-based serosurveys can help validate model projections. Applying our method to training data from Delhi, India, during March 15-June 30, 2020, we estimate the underreporting factor for cases at 34-53 (deaths: 8-13) on July 10, 2020, largely consistent with the findings of the first round of serosurveys for Delhi (done during June 27-July 10, 2020) with an estimated 22.86% IgG antibody prevalence, yielding estimated underreporting factors of 30-42 for cases. Together, these imply approximately 96-98% cases in Delhi remained unreported (July 10, 2020). Updated calculations using training data during March 15-December 31, 2020 yield estimated underreporting factor for cases at 13-22 (deaths: 3-7) on January 23, 2021, which are again consistent with the latest (fifth) round of serosurveys for Delhi (done during January 15-23, 2021) with an estimated 56.13% IgG antibody prevalence, yielding an estimated range for the underreporting factor for cases at 17-21. Together, these updated estimates imply approximately 92-96% cases in Delhi remained unreported (January 23, 2021). Such model-based estimates, updated with latest data, provide a viable alternative to repeated resource-intensive serosurveys for tracking unreported cases and deaths and gauging the true extent of the pandemic.",Epidemic Forecasting;Transmission
33962986,Persistence of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Virus and Viral RNA in Relation to Surface Type and Contamination Concentration.,,"The transmission of SARS-CoV-2 is likely to occur through a number of routes, including contact with contaminated surfaces. Many studies have used reverse transcription-PCR (RT-PCR) analysis to detect SARS-CoV-2 RNA on surfaces, but seldom has viable virus been detected. This paper investigates the viability over time of SARS-CoV-2 dried onto a range of materials and compares viability of the virus to RNA copies recovered and whether virus viability is concentration dependent. Viable virus persisted for the longest time on surgical mask material and stainless steel, with a 99.9% reduction in viability by 122 and 114 h, respectively. Viability of SARS-CoV-2 reduced the fastest on a polyester shirt, with a 99.9% reduction within 2.5 h. Viability on the bank note was reduced second fastest, with 99.9% reduction in 75 h. RNA on all surfaces exhibited a 1-log reduction in genome copy number recovery over 21 days. The findings show that SARS-CoV-2 is most stable on nonporous hydrophobic surfaces. RNA is highly stable when dried on surfaces, with only 1-log reduction in recovery over 3 weeks. In comparison, SARS-CoV-2 viability reduced more rapidly, but this loss in viability was found to be independent of starting concentration. Expected levels of SARS-CoV-2 viable environmental surface contamination would lead to undetectable levels within 2 days. Therefore, when RNA is detected on surfaces, it does not directly indicate the presence of viable virus, even at low cycle threshold values. IMPORTANCE This study shows the impact of material type on the viability of SARS-CoV-2 on surfaces. It demonstrates that the decay rate of viable SARS-CoV-2 is independent of starting concentration. However, RNA shows high stability on surfaces over extended periods. This has implications for interpretation of surface sampling results using RT-PCR to determine the possibility of viable virus from a surface, where RT-PCR is not an appropriate technique to determine viable virus. Unless sampled immediately after contamination, it is difficult to align RNA copy numbers to quantity of viable virus on a surface.",Diagnosis;Prevention;Transmission
33962957,The impact of relaxing interventions on human contact patterns and SARS-CoV-2 transmission in China.,,"Nonpharmaceutical interventions to control SARS-CoV-2 spread have been implemented with different intensity, timing, and impact on transmission. As a result, post-lockdown COVID-19 dynamics are heterogeneous and difficult to interpret. We describe a set of contact surveys performed in four Chinese cities (Wuhan, Shanghai, Shenzhen, and Changsha) during the pre-pandemic, lockdown and post-lockdown periods to quantify changes in contact patterns. In the post-lockdown period, the mean number of contacts increased by 5 to 17% as compared to the lockdown period. However, it remains three to seven times lower than its pre-pandemic level sufficient to control SARS-CoV-2 transmission. We find that the impact of school interventions depends nonlinearly on the intensity of other activities. When most community activities are halted, school closure leads to a 77% decrease in the reproduction number; in contrast, when social mixing outside of schools is at pre-pandemic level, school closure leads to a 5% reduction in transmission.",Prevention;Transmission
