title,Case Report,Diagnosis,Epidemic Forecasting,Mechanism,Prevention,Transmission,Treatment
pulmonary contusion mimicking covid19 case report,1,0,0,0,0,0,0
adenosine fight covid19 acute respiratory distress syndrome,1,0,0,0,0,0,0
american college rheumatology guidance management rheumatic disease adult patients covid19 pandemic version 2,0,0,0,0,1,0,0
severe cerebral involvement adultonset hemophagocytic lymphohistiocytosis,1,0,0,0,0,0,0
sarscov2 come,0,1,0,1,0,1,0
expression level angiotensinconverting enzyme 2 determines severity covid19 lung heart tissue targets,0,1,0,1,0,0,1
switching teleconsultation rheumatology wake covid19 pandemic feasibility patient response india,0,0,0,0,1,0,0
correlation migration scale index number new confirmed coronavirus disease 2019 cases china,0,0,0,0,1,0,0
potently neutralizing antibody protects mice sarscov2 infection,0,0,0,1,0,0,1
covid19 south asiansasian indians heterogeneity data implications pathophysiology research,0,0,0,1,0,0,1
ocular manifestations hospitalised patient confirmed 2019 novel coronavirus disease,0,1,0,0,1,0,0
special issues encountered cancer patients confront covid19,0,1,0,0,1,0,1
covid19 outbreak history mechanism transmission structural studies therapeutics,0,0,0,1,0,1,1
transmission evolutionary dynamics human coronavirus oc43 strains coastal kenya investigated partial spike sequence analysis 201516,0,0,0,1,0,1,0
cesarean section pregnant woman covid19 first case portugal,1,0,0,0,0,0,0
anaesthetic considerations rationalizing drug use operating theatre strategies singapore hospital covid19,0,0,0,0,0,0,1
therapeutic opportunities manage covid19sarscov2 infection present future,0,0,0,1,0,0,1
knowledge attitudes practices toward covid19 saudi arabian population crosssectional study,0,0,0,0,1,0,0
chemosensory dysfunction covid19 outpatients,0,1,0,0,0,0,0
genetic sequence origin diagnosis sarscov2,0,1,0,1,0,0,0
major thrombotic event despite anticoagulation patient covid19,1,0,0,0,0,0,0
covid19 maternal fetal neonatal mortality systematic review,0,1,0,0,0,1,0
emerging novel coronavirus 2019ncovcurrent scenario evolutionary perspective based genome analysis recent developments,0,1,0,1,0,1,1
dynamic interplay social distancing duration intensity reducing covid19 us hospitalizations law diminishing returns,0,0,0,0,1,0,0
estimating time interval transmission generations negative values occur serial interval data using covid19 example,0,0,0,0,1,1,0
nitazoxanide covid19 three explorative scenarios,0,0,0,0,0,0,1
vaccines tuberculosis problems prospects review,0,0,0,0,0,0,1
effects coronavirus covid19 pandemic orthopedic residency program seventh largest city world recommendations resourceconstrained setting,0,0,0,0,1,0,0
urgent measures containment coronavirus covid19 epidemic neurorehabilitationrehabilitation departments phase maximum expansion epidemic,0,0,0,0,1,0,0
evaluation four commercial kits sarscov2 realtime reversetranscription polymerase chain reaction approved emergencyuseauthorization korea,0,1,0,0,0,0,0
clinical characteristics 82 cases death covid19,0,1,0,0,0,0,1
high intensities population movement associated high incidence covid19 pandemic,0,0,0,0,1,0,0
stockpiled n95 respiratorsurgical mask release beyond manufacturerdesignated shelflife french experience,0,0,0,0,1,0,0
,0,1,0,0,0,0,1
evaluation conjunctival swab pcr results patients sarscov2 infection,0,1,0,0,0,0,0
effectiveness population density natural social distancing covid19 spreading,0,0,0,0,1,0,0
preparing ir covid19 singapore experience,0,0,0,0,1,0,0
asymptomatic sarscov2 infection household contacts healthcare provider wuhan china,0,0,0,0,0,1,0
,0,1,0,1,0,0,1
index quantify environmental risk exposure future epidemics covid19 similar viral agents theory practice,0,0,1,0,1,0,0
trajectory covid19 scenario malaysia facing unprecedented,0,0,0,0,1,0,0
current trends future approaches smallmolecule therapeutics covid19,0,0,0,0,0,0,1
challenges controversies testing covid19,0,1,0,0,1,0,0
lessons learned 2019ncov epidemic prevention future infectious diseases,0,0,0,0,1,0,0
time pandemic temporal perspectives related compliance public health regulations concerning covid19 pandemic,0,0,0,0,1,0,0
knowledge attitudes among hospital pharmacists covid19,0,0,0,0,1,0,0
coinfection respiratory pathogens among covid2019 cases,0,1,0,0,0,0,1
anaesthetic management patients covid19 single center initial experience nepal,0,0,0,0,1,0,0
clinical predictors donor antibody titre correlation recipient antibody response covid19 convalescent plasma clinical trial,0,1,0,0,0,0,1
impact covid19 pandemic emergency medicine residency training observational study,0,0,0,0,1,0,0
characteristics newborns born sarscov2positive mothers retrospective cohort study,0,1,0,0,0,0,0
vaccination severe acute respiratory syndrome coronavirus 2,0,0,0,0,0,0,1
sarscov2 rna polymerase target antiviral therapy,0,0,0,1,0,0,1
thorax magnetic resonance imaging findings patients coronavirus disease covid19,0,1,0,0,0,0,0
simulation clinical pathological manifestations coronavirus disease 2019 covid19 golden syrian hamster model implications disease pathogenesis transmissibility,0,1,0,0,0,1,0
covid 19 protection workers workplace singapore,0,0,0,0,1,0,0
covid19 telehealth prevention exposure medically complex patient mild presentation,0,0,0,0,1,0,0
nowhere hide significant impact coronavirus disease 2019 covid19 measures elite semielite south african athletes,0,0,0,0,1,0,0
covid19 update italian situation,0,0,0,0,1,0,0
suitability sufficiency telehealth clinicianobserved participantcollected samples sarscov2 testing icollect cohort pilot study,0,1,0,0,0,0,0
anosmia prominent symptom covid19 infection,0,1,0,0,0,0,0
study predictors disease severity covid19,0,1,0,0,0,0,1
airway management strategies situation prevention control nosocomial infections coronavirus disease 2019,0,0,0,0,1,0,0
covid19 turkey lessons learned,0,0,0,0,1,0,0
critical appraisal american college surgeons medically necessary time sensitive procedures ments scoring system urology consensus recommendations individual surgeon case prioritization resumption elective urological surgery covid19 pandemic,0,0,0,0,1,0,0
universitybased social services parenttraining model telehealth adaptation covid19 pandemic,0,0,0,0,1,0,0
pregnant women covid19 risk adverse birth outcomes maternalfetal vertical transmission populationbased cohort study wuhan china,0,1,0,0,0,1,0
covid19 concerns behaviours croatia,0,0,0,0,1,0,0
late acute pulmonary embolism mild coronavirus disease 2019 covid19 case series,1,0,0,0,0,0,0
animal coronaviruses sarscov2,0,0,0,1,1,1,1
covid19 diabetes patients ukraine lessons doctors patients,0,1,0,0,0,0,1
survey genetic variants sarscov2 interacting domains ace2 tmprss2 tlr378 across populations,0,0,0,1,0,0,0
italian recommendations diagnosis gestational diabetes covid19 pandemic position statement italian association clinical diabetologists amd italian diabetes society sid diabetes pregnancy study group,0,0,0,0,1,0,0
,0,0,0,1,0,0,1
esophageal cancer challenges concerns recommendations management amidst covid19 pandemic,0,0,0,0,1,0,0
harnessing coviddriven technical innovations improved multidisciplinary cancer care postcovid era virtual patient room,0,0,0,0,1,0,0
health risks potential remedies prolonged lockdowns coronavirus disease 2019 covid19,0,0,0,0,1,0,0
impact covid19 pandemic orthopaedic services training uk,0,0,0,0,1,0,0
detection first appearance sarscov2 virus hungary based retrospective testing respiratory samples,0,1,0,0,0,0,0
teleworking beyond teleradiology managing radiology departments covid19 outbreak,0,0,0,0,1,0,0
reinventing cloth masks face pandemics,0,0,0,0,1,0,0
melanoma covid19 narrative review focused treatment,0,0,0,0,1,0,0
role illness perceptions coping selfefficacy adherence precautionary measures covid19,0,0,0,0,1,0,0
covid19 cancer care prevention,0,0,0,0,1,0,0
recommendations head neck surgical procedures covid19 pandemic,0,0,0,0,1,0,0
asymptomatic carriers covid19 confined adult community population quebec crosssectional study,0,0,0,0,1,1,0
polyadpribose polymerase inhibition acute lung injury reemerging concept,0,0,0,1,0,0,1
parameter estimation prediction coronavirus disease outbreak 2019 covid19 algeria,0,0,1,0,1,0,0
imaging manifestations lung injury covid19 outbreak learned,0,1,0,0,0,0,0
guide physiotherapy urogynecology patient care covid19 pandemic,0,0,0,0,1,0,0
explosion mortality amazonian epicenter covid19 epidemic 19,0,0,0,0,1,0,0
spontaneous intraparenchymal hepatic hemorrhage sequela covid19,1,0,0,0,0,0,0
early impact covid19 pandemic global turkish economy,0,0,0,0,1,0,0
covid19 pandemic seen frontline,0,0,0,0,1,0,0
effectiveness remdesivir treatment hospitalized covid19 persons network metaanalysis,0,0,0,0,0,0,1
vivo expressed biologics infectious disease prophylaxis rapid delivery dnabased antiviral antibodies,0,0,0,0,0,0,1
structurebased drug repositioning human tmprss2 protease domain search chemical probes able repress sarscov2 spike protein cleavages,0,0,0,1,0,0,1
inhospital mortality heart failure germany covid19 pandemic,0,0,0,0,1,0,0
acute respiratory distress syndrome ards caused novel coronavirus disease covid19 practical comprehensive literature review,0,1,0,1,0,0,1
covid19 exercise prescription maximal oxygen uptake vo2 max role riskstratifying patients,0,0,0,0,1,0,0
nonsurgical management resectable oral cavity cancer wake covid19 rapid review metaanalysis,0,0,0,0,1,0,0
western washington state covid19 experience keys flattening curve effective health system response,0,0,0,0,1,0,0
radical change osteosarcoma surgical plan due covid19 pandemic,0,0,0,0,1,0,0
emerging challenges urban waste management tehran iran covid19 pandemic,0,0,0,0,1,0,0
first case convalescent plasma transfusion child covid19associated severe aplastic anemia,1,0,0,0,0,0,0
need fasttrack highquality lowcost studies role bcg vaccine fight covid19,0,0,0,0,0,0,1
coronavirus disease 2019 covid19 patient multifocal pneumonia treated hydroxychloroquine,1,0,0,0,0,0,0
surgical consent covid pandemic covid timessurgical consent checklist,0,0,0,0,1,0,0
economic implications decreased elective orthopaedic musculoskeletal surgery volume coronavirus disease 2019 pandemic,0,0,0,0,1,0,0
oral manifestations patients covid19 living systematic review,0,1,0,0,0,0,0
canadian society nephrology covid19 rapid response team home dialysis recommendations,0,0,0,0,1,0,0
us county level analysis determine social distancing slowed spread covid19,0,0,0,0,1,0,0
considerations use antihypertensive blockers reninangiotensin system adults children face covid19 pandemic,0,0,0,1,0,0,1
abrupt deterioration pulmonary embolism covid19 case report,1,0,0,0,0,0,0
impact covid19related public containment measures st elevation myocardial infarction epidemic belgium nationwide serial crosssectional study,0,0,0,0,1,0,0
il18 infections role targeted therapies,0,0,0,1,0,0,1
florida department health steps public health approach covid19 response plan outcomes may 31 2020,0,0,0,0,1,0,0
elevated nterminal probrain natriuretic peptide associated increased mortality patients covid19 systematic review metaanalysis,0,1,0,0,0,0,1
development implementation societal influences survey questionnaire sisq peoples covid19 pandemic validity reliability analysis,0,0,0,0,1,0,0
covid19 pandemic west learn east,0,0,0,0,1,0,0
clozapine prescribing covid19 positive medical inpatients case series,1,0,0,0,0,0,0
convalescent plasma appears efficacious safe covid19,0,0,0,0,0,0,1
agileaccord randomized multicentre seamless adaptive phase iii platform study determine optimal dose safety efficacy multiple candidate agents treatment covid19 structured summary study protocol randomised platform trial,0,0,0,0,0,0,1
fast sarscov2 detection rtqpcr preheated nasopharyngeal swab samples,0,1,0,0,0,0,0
shared surgical decision making era covid19 lessons hurricane katrina,0,0,0,0,1,0,0
unequal impact structural health determinants comorbidity covid19 severity lethality older mexican adults considerations beyond chronological aging,0,1,0,0,0,0,1
virtual hiv preexposure prophylaxis outpatient service era covid19,0,0,0,0,1,0,0
hydroxychloroquine chloroquine effective treatment sarscov2 covid19,0,0,0,0,0,0,1
novel use telepalliative care new york city emergency department covid19 pandemic,0,0,0,0,1,0,0
covid19 focus lungs forget gastrointestinal tract,0,1,0,1,0,0,0
chinas standard care covid19 replicated europe,0,0,0,0,1,0,0
impact shelterinplace order covid19 trauma activations santa clara county california march 2020,0,0,0,0,1,0,0
comparative analysis statistical methods estimate reproduction number emerging epidemics implications current covid19 pandemic,0,0,1,0,1,0,0
overview guidance endoscopy coronavirus disease 2019 pandemic,0,0,0,0,1,0,0
complicated alcohol withdrawalan unintended consequence covid19 lockdown,0,0,0,0,1,0,0
herd immunity vaccination game experimental study,0,0,0,0,0,0,1
evaluation exposure risk sarscov2 different hospital environment,0,0,0,0,1,0,0
impact covid 19 cancer patients severity disease fatal outcomes systematic review metaanalysis,0,1,0,0,0,0,1
covid19 frequent use hand sanitizers human health environmental hazards exposure pathways,0,0,0,0,1,0,0
teledentistry improve monitoring patients covid19 dissemination descriptive pilot study,0,0,0,0,1,0,0
acute multivessel coronary occlusion revealing covid19 young adult,1,0,0,0,0,0,0
pivots pirouettes adapting robust departmental cpd training program covid19 crisis,0,0,0,0,1,0,0
association procalcitonin levels duration mechanical ventilation covid19 patients,0,1,0,0,0,0,1
decreased naive tcell production leading cytokine storm cause increased covid19 severity comorbidities,0,0,0,1,0,0,1
transthoracic echocardiographic findings patients admitted sarscov2 infection,0,1,0,0,0,0,0
two seriously ill neonates born mothers covid19 pneumonia case report,1,0,0,0,0,0,0
covid19 look modern age pandemic,0,0,0,0,1,0,0
keys control covid19 outbreak haemodialysis unit,0,1,0,0,1,0,0
tobacco smoking covid19 pandemic old new issues summary evidence scientific literature,0,0,0,1,0,0,0
triage tool rationing blood massively bleeding patients severe national blood shortage guidance national blood transfusion committee,0,0,0,0,1,0,0
covid19 spreading curing silently observation three family clusters bangladesh,1,0,0,0,0,0,0
sarscov2 pandemic epilepsy impact emergency department attendances seizures,0,0,0,0,1,0,0
multisystem effects covid19 concise review practitioners,0,1,0,0,0,0,1
periodontal pockets potential reservoir sarscov2,0,0,0,1,0,0,1
cardiac injury patterns inpatient outcomes among patients admitted covid19,0,1,0,0,0,0,1
brandnew cardiorenal syndrome covid19 setting,0,0,0,1,0,0,1
indian study impact covid19 clinical decisionmaking consensus cardiac surgery practice across country,0,0,0,0,1,0,0
potential indirect effects covid19 pandemic use emergency departments acute lifethreatening conditions united states januarymay 2020,0,0,0,0,1,0,0
covid19 cardiovascular disease,0,1,0,1,0,0,1
clinical characteristics management liver transplanted patient admitted sarscov2 infection,1,0,0,0,0,0,0
case coronavirus infection incidentally found fdg petct scan,1,0,0,0,0,0,0
management organ donation process covid19 pandemic first case turkey,1,0,0,0,0,0,0
inhibition porcine epidemic diarrhea virus pedv replication a77 1726 targeting jak src tyrosine kinases,0,0,0,1,0,0,1
covid19 among health workers germany malaysia,0,0,0,0,1,0,0
sarscov2 covid19 coronavirus pandemic current situation implications mexico,0,0,0,0,1,0,0
humaniggneutralizing monoclonal antibodies block sarscov2 infection,0,0,0,1,0,0,1
effect mutation structure function dynamics receptor binding domain human sarscov2 host cell receptor ace2 molecular dynamics simulations study,0,0,0,1,0,0,1
liver impairment associated disease progression covid19 patients,0,1,0,0,0,0,0
hiv brain teach us sarscov2 neurological complications,0,0,0,1,0,0,1
reduced numbers cells b cells correlates persistent sarscov2 presence nonsevere covid19 patients,0,1,0,0,0,0,1
glutathione supplementation adjunctive therapy covid19,0,0,0,1,0,1,1
,0,0,0,0,1,0,0
mechanisms consequences covid19 associated liver injury affirm,0,1,0,1,0,0,1
cancer surgery covid19 pandemic turkey,0,0,0,0,1,0,0
covid19 ocular surface review transmission manifestations,0,1,0,0,0,1,0
guidelines ultrasound radiology department covid19 pandemic,0,0,0,0,1,0,0
beach tourism times covid19 pandemic critical issues knowledge gaps research opportunities,0,0,0,0,1,0,0
statewide interventions covid19 mortality united states observational study,0,0,0,0,1,0,0
potential interventions novel coronavirus china systematic review,0,0,0,0,0,0,1
algorithm ramp ophthalmic elective surgeries postcovid19,0,0,0,0,1,0,0
natural killer cell immunotypes related covid19 disease severity,0,0,0,1,0,0,1
,0,0,0,1,0,0,1
early nutritional supplementation noncritically ill patients hospitalized 2019 novel coronavirus disease covid19 rationale feasibility shared pragmatic protocol,0,0,0,0,0,0,1
nonneuronal expression sarscov2 entry genes olfactory system suggests mechanisms underlying covid19associated anosmia,0,0,0,1,0,0,0
efficacy safety tocilizumab covid19 patients,0,0,0,0,0,0,1
hospital biosecurity capacitation analysis recommendations prevention control covid19,0,0,0,0,1,0,0
risk factors intensive care unit admission inhospital mortality among hospitalized adults identified us coronavirus disease 2019 covid19associated hospitalization surveillance network covidnet,0,1,0,0,0,0,1
impacts covid19 outbreak emergency department visits surgical patients,0,0,0,0,1,0,0
,0,0,0,0,1,0,0
hyperacute multiorgan thromboembolic storm covid19 case report,1,0,0,0,0,0,0
progress toward poliovirus containment implementation worldwide 20192020,0,0,0,0,1,0,0
electroencephalographic eeg features encephalopathy setting covid19 case series,1,0,0,0,0,0,0
interaction hydroxychloroquine pharmacokinetically important drug transporters,0,0,0,1,0,0,1
melbourne metropolitan areas vulnerable covid19 based age disability access health services using spatial analysis identify service gaps inform delivery,0,0,0,0,1,0,0
radiological findings patients covid19,0,1,0,0,0,0,0
sarscov2 causes specific dysfunction kidney proximal tubule,0,1,0,0,0,0,1
planning postcovid syndrome payers mitigate longterm complications pandemic,0,0,0,0,1,0,1
susceptibility sars mers covid19 animal health perspective,0,0,0,1,0,1,0
clinical microbiological effect combination hydroxychloroquine azithromycin 80 covid19 patients least sixday follow pilot observational study,0,0,0,0,0,0,1
caring nephrology patients staff covid19 pandemic experiences northwest kidney centers,0,0,0,0,1,0,0
data quality chinese surveillance covid19 objective analysis based whos situation reports,0,0,0,0,1,0,0
covid19 challenge proactive management tertiary university hospital veneto region italy,0,0,0,0,1,0,0
customized personal protective equipment ppe solution conservation management supplies coronavirus disease 2019 covid19 pandemic,0,0,0,0,1,0,0
novel seleniumbased compounds therapeutic potential sod1linked amyotrophic lateral sclerosis,0,0,0,1,0,0,1
characteristics outcomes inhospital cardiac arrest events covid19 pandemic singlecenter experience new york city public hospital,0,0,0,0,1,0,0
brain mri findings patients intensive care unit covid19 infection,0,1,0,0,0,0,1
management heart failure patients covid19 joint position paper chinese heart failure association national heart failure committee heart failure association european society cardiology,0,0,0,0,1,0,1
acute effusive pericarditis late complication covid19,1,0,0,0,0,0,0
teravolt thoracic cancers international covid19 collaboration,0,0,0,0,1,0,0
doxycycline potential partner covid19 therapies,0,0,0,0,0,0,1
crosssectional prevalence sarscov2 among skilled nursing facility employees residents across facilities seattle,0,1,0,0,1,0,0
covid19 south korea lessons developing countries,0,0,0,0,1,0,0
dispersion spherical droplets sourcesink flows relevance covid19 pandemic,0,0,0,0,1,0,0
comorbidity context part 1 medical considerations around hiv tuberculosis covid19 pandemic south africa,0,1,0,0,1,0,1
hereditary angioedema make covid19 worse,0,0,0,1,0,0,1
conformational transition sarscov2 spike glycoprotein closed open states,0,0,0,1,0,0,0
acute onset olfactorytaste disorders associated high viral burden mild asymptomatic sarscov2 infections,0,1,0,0,0,0,0
public attitudes behaviors beliefs related covid19 stayathome orders nonessential business closures public health guidance united states new york city los angeles may 512 2020,0,0,0,0,1,0,0
covid19 significance antibodies,0,1,0,0,0,0,1
review xray computed tomography scan findings promising role point care ultrasound covid19 pandemic,0,1,0,0,0,0,0
,0,0,0,0,1,0,0
incidence covid19 among returning travelers quarantine facilities longitudinal study lessons learned,0,1,0,0,1,0,0
multiple approaches massively parallel sequencing sarscov2 genomes directly clinical samples,0,1,0,1,0,0,0
doubleblind randomized placebocontrolled phase iii clinical trial evaluate efficacy safety treating healthcare professionals adsorbed covid19 inactivated vaccine manufactured sinovac profiscov structured summary study protocol randomised controlled trial,0,0,0,0,0,0,1
isolation requirements personal protective equipment covid19 pandemic,0,0,0,0,1,0,0
assessment knowledge practice dentists towards coronavirus disease covid19 crosssectional survey lebanon,0,0,0,0,1,0,0
thrombotic events following tocilizumab therapy critically ill covid19 patients facade prognostic markers,1,0,0,0,0,0,0
covid19 pandemic confronts motivation fallacy within pulmonary rehabilitation programs,0,0,0,0,1,0,0
current challenges digital health interventions pakistan mixed methods analysis,0,0,0,0,1,0,0
patients cancer covid19 era clinical trial issue,0,0,0,0,1,0,0
let us forget cardiovascular diseases covid19 pandemic role cardiac prevention rehabilitation,0,0,0,0,1,0,0
bacterial fungal coinfection individuals coronavirus rapid review support covid19 antimicrobial prescribing,0,1,0,0,0,0,1
impact covid19 cardiac surgical training experience united kingdom,0,0,0,0,1,0,0
review newborn outcomes covid19 pandemic,0,0,0,0,1,0,0
nonpharmaceutical interventions pandemic covid19 crosssectional investigation us general public beliefs attitudes actions,0,0,0,0,1,0,0
ace2 tmprss2 expressions head neck tissues systematic review,0,0,0,1,0,0,0
value urine biochemical parameters prediction severity coronavirus disease 2019,0,1,0,0,0,0,0
uninterrupted continuous intermittent nebulizer therapy covid19 patient using sequential vibratory mesh nebulizers case report,1,0,0,0,0,0,0
sarilumab versus standard care early treatment covid19 pneumonia hospitalized patients sartre structured summary study protocol randomised controlled trial,0,0,0,0,0,0,1
scrnaseq profiling human testes reveals presence ace2 receptor target sarscov2 infection spermatogonia leydig sertoli cells,0,0,0,1,0,0,1
patients see doctors online fever clinics covid19 wuhan,0,0,0,0,1,0,0
maximizing safety conduct alzheimers disease fluid biomarker research era covid19,0,0,0,0,1,0,0
codingcomplete genome sequences two sarscov2 isolates early manifestations covid19 israel,0,0,0,1,0,0,0
covid19associated encephalopathy fulminant cerebral vasoconstriction ct mri findings,1,0,0,0,0,0,0
urinary stone management covid19 pandemic suggested approach review literature,0,0,0,0,1,0,0
acute kidney injury covid19 patients inner city hospital experience policy implications,0,1,0,0,0,0,1
adldependency ddimers ldh absence anticoagulation independently associated onemonth mortality older inpatients covid19,0,1,0,0,0,0,1
asymptomatic persons tested covid19,0,0,0,0,1,0,0
hospitalization rates characteristics children aged 18 years hospitalized laboratoryconfirmed covid19 covidnet 14 states march 1july 25 2020,0,1,0,0,0,0,1
novel immunoglobulin domain proteins provide insights evolution pathogenesis sarscov2related viruses,0,0,0,1,0,0,1
children infected sarscov2 family clusters,0,1,0,0,0,0,0
,0,0,1,0,1,1,0
mesenchymal stem cell infusion shows promise combating coronavirus covid19 induced pneumonia,0,0,0,1,0,0,1
cardiology cutting edge updates european society cardiology esc congress 2020,0,0,0,0,1,0,1
cardiovascular system covid19 manifestations therapeutics,0,1,0,1,0,0,1
effects agetargeted sequestration covid19,0,0,0,0,1,0,1
knowledge covid19 prevention among residents gedeo zone south ethiopia sources information factor,0,0,0,0,1,0,0
coronavirus disease covid19 machine learning bibliometric analysis,0,0,0,0,1,0,0
response role palliative care covid19 pandemic national telephone survey hospices italy,0,0,0,0,1,0,0
covid19 cancer guide suggested covid19 ruleout criteria support clinical decisionmaking,0,1,0,1,0,1,1
case postoperative covid19 infection cardiac surgery lessons learned,1,0,0,0,0,0,0
covid19 vaginal delivery case report,1,0,0,0,0,0,0
hydroxychloroquine use covid19 patient,0,0,0,0,0,0,1
analysis factors affecting prognosis covid19 patients viral shedding duration,0,1,0,0,0,0,1
stability sarscov2 produce following lowdose aerosol exposure,0,0,0,0,1,0,0
headache patients severe acute respiratory syndrome coronavirus 2 infection narrative review,0,1,0,1,0,0,1
covid19 pandemic first wave audit guidance paediatric dentistry,0,0,0,0,1,0,0
cd147 target covid19 treatment suggested effects azithromycin stem cell engagement,0,0,0,1,0,0,1
learning palliative care approach covid19 pandemic case study infectious diseases unit,0,0,0,0,1,0,0
potential specific therapies covid19,0,0,0,0,0,0,1
acute pericarditis primary presentation covid19,1,0,0,0,0,0,0
abcs covid19 prevention malawi authority benefits costs compliance,0,0,0,0,1,0,0
polish society gynecologists obstetricians statement surgery gynecology covid19 pandemic,0,0,0,0,1,0,0
ipscsderived platform feasible tool probing neurotropism sarscov2,0,0,0,1,0,0,1
composition divergence coronavirus spike proteins host ace2 receptors predict potential intermediate hosts sarscov2,0,0,0,1,0,1,0
one medical schools experience sustaining general practice teaching time covid19,0,0,0,0,1,0,0
masks n95 respirators covid19 pandemicwhich one wear,0,0,0,0,1,0,0
anti xa activity high dose lmwh thrombosis prophylaxis covid 19 patients intensive care unit,0,0,0,0,0,0,1
smokers paradox covid19,0,0,0,1,0,0,1
insights structural dynamical changes spike glycoprotein mutations associated sarscov2 host receptor binding,0,0,0,1,0,0,0
bcginduced nonspecific effects adequate provide protection covid19,0,0,0,0,0,0,1
shelter hospital glimmers hope treating coronavirus 2019,0,0,0,0,0,0,1
telepsychiatry psychotherapy practice,0,0,0,0,1,0,0
receptor binding domain viral spike protein immunodominant highly specific target antibodies sarscov2 patients,0,1,0,1,0,0,1
continuous thrombocytopenia sarscov2 nucleic acid negative nonsevere covid19 patient several months,1,0,0,0,0,0,0
covid19 great mime trigger event autoimmune manifestations,0,0,0,1,0,0,1
clinical characteristics outcome severe acute respiratory syndrome coronavirus 2 infection italian pediatric oncology patients study infectious diseases working group associazione italiana di oncologia e ematologia pediatrica,0,1,0,0,0,0,1
gastrointestinal bleeding patients severe sarscov2,0,1,0,0,0,0,0
challenges diabetes care management developing countries high incidence covid19 brief report,0,0,0,0,1,0,0
strengthening health systems resilience key concepts strategies,0,0,0,0,1,0,0
sarscov2 antibodies serum inflammatory biomarkers clinical severity hospitalized covid19 patients,0,1,0,0,0,0,1
health outcome predictive evaluation covid 19 international registry hope covid19 rationale design,0,1,0,0,0,0,1
health economy covid19 era plan reconstituting longterm economic security,0,0,0,0,1,0,0
presenting features early mortality sarscov2 infection cancer patients initial stage covid19 pandemic europe,0,1,0,0,0,0,1
neuroinvasion neurotropic neuroinflammatory events sarscov2 understanding neurological manifestations covid19 patients,0,1,0,1,0,0,1
online influenza surveillance system primary care workers switzerland observational prospective pilot study,0,0,0,0,1,0,0
critically ill covid19 patients acute kidney injury reduced renal blood flow perfusion despite preserved cardiac function casecontrol study using contrast enhanced ultrasound,0,1,0,0,0,0,1
semiparametric bayesian inference transmission dynamics covid19 statespace model,0,0,1,0,0,0,0
using artificial intelligence detect covid19 communityacquired pneumonia based pulmonary ct evaluation diagnostic accuracy,0,1,0,0,0,0,0
reasoned action approach compliance recommended behaviours prevent transmission sarscov2 virus uk,0,0,0,0,1,0,0
unpredictable fall severe emergent cardiovascular diseases hospital admissions covid19 pandemic experience single large center northern italy,0,0,0,0,1,0,0
virus shedding dynamics asymptomatic mildly symptomatic patients infected sarscov2,0,1,0,0,1,0,0
video consultations ordinary extraordinary times,0,0,0,0,1,0,0
effect systemic inflammatory response sarscov2 lopinavir hydroxychloroquine plasma concentrations,0,0,0,0,0,0,1
,0,0,0,0,0,0,1
association initial chest ct clinical features clinical course patients coronavirus disease 2019 pneumonia,0,1,0,0,0,0,0
baseline characteristics outcomes patients covid19 admitted intensive care units vancouver canada case series,0,1,0,0,0,0,1
loss sense smell diagnostic marker covid19 systematic review metaanalysis,0,1,0,0,0,0,0
improved survival following wardbased noninvasive pressure support severe hypoxia cohort frail patients covid19 retrospective analysis uk teaching hospital,0,0,0,0,0,0,1
endoscopic mask innovation protective measures changes coronavirus disease2019 pandemic experience chinese hepatobiliarypancreatic unit,0,0,0,0,1,0,0
longterm positivity sarscov2 clinical case covid19 persistent evidence infection,1,0,0,0,0,0,0
changes hematological immunological parameters covid19 patients,0,1,0,0,0,0,1
effects covid19 prevention measures common infections taiwan,0,0,0,0,1,0,0
recent insights emerging covid19 drug discovery therapeutic options vaccine development,0,0,0,0,0,0,1
chinese publics attention covid19 epidemic social media observational descriptive study,0,0,0,0,1,0,0
sensitivity specificity chest ct diagnosis covid19,0,1,0,0,0,0,0
effect age mortality patients covid19 metaanalysis 611583 subjects,0,1,0,0,1,0,0
novel cellbased assay dynamically detecting neutrophil extracellular trapsinduced lung epithelial injuries,0,1,0,0,0,0,0
challenges proposals scaling covid19 testing diagnosis brazil,0,0,0,0,1,0,0
low incidence mortality sarscov2 southern europe proposal hypothesis arthropod borne herd immunity,0,0,0,1,0,0,1
pathological findings testes covid19 patients clinical implications,0,1,0,0,1,0,0
eating disorders times covid19 pandemicresults online survey patients anorexia nervosa,0,0,0,0,1,0,0
covid19 pandemic patients cancer protocol clinical oncology center tehran iran,0,0,0,0,1,0,0
quality early evidence pathogenesis diagnosis prognosis treatment covid19,0,1,0,0,0,0,1
renal transplant recipient concurrent covid19 stenotrophomonas maltophilia pneumonia treated trimethoprimsulfamethoxazole leading acute kidney injury therapeutic dilemma,1,0,0,0,0,0,0
contemplating hpv vaccination japan time covid19,0,0,0,0,1,0,1
correlation analysis disease severity clinical biochemical characteristics 143 cases covid19 wuhan china descriptive study,0,1,0,0,0,0,1
applying fixed point methods fractional operators modelling novel coronavirus 2019ncovsarscov2,0,0,1,0,0,0,0
alone battle framework coordinated response covid19 nursing homes,0,0,0,0,1,0,0
first neonates severe acute respiratory syndrome coronavirus 2 infection romania three case reports,1,0,0,0,0,0,0
role governmental action individual reaction covid19 dynamics south africa mathematical modelling study,0,0,0,0,1,0,0
